id,activity_id,locale,name,description
1dc91f9e-fe5c-4f9a-86e2-a7aecea48e4c,1dc91f9e-fe5c-4f9a-86e2-a7aecea48e4c,nb,Husregler,"Rolig atferd innendørs."
e8a96d17-623a-4e15-9fa8-3e96eb23fc7e,e8a96d17-623a-4e15-9fa8-3e96eb23fc7e,nb,Båndtrening,"Behagelig og kontrollert gange i bånd."
997065fb-78ed-44ef-9e3d-2f759fd03a5b,997065fb-78ed-44ef-9e3d-2f759fd03a5b,nb,Innkalling,"Kom på innkalling i alle situasjoner."
35cfbaac-00bd-4b8d-a3f4-f5a197909b78,35cfbaac-00bd-4b8d-a3f4-f5a197909b78,nb,Fot,"Gå kontrollert ved siden av føreren."
17831d10-fcfc-4a8f-89cf-befb315fe228,17831d10-fcfc-4a8f-89cf-befb315fe228,nb,Bli,"Hold en posisjon til hunden får frisignal."
db8a8f95-1002-4e7b-8dfb-5cbf8f4f525e,db8a8f95-1002-4e7b-8dfb-5cbf8f4f525e,nb,Apportering,"Hent og lever en gjenstand på signal."
dfe7cb68-311c-4994-867d-acfa6f6cf176,dfe7cb68-311c-4994-867d-acfa6f6cf176,nb,Hopp,"Forser hinder trygt og sikkert."
8c5f92f0-17b8-4210-b4d4-f47406997f3e,8c5f92f0-17b8-4210-b4d4-f47406997f3e,nb,Tunneler,"Løp trygt gjennom tunneler."
426b31ab-ab6d-433b-a183-310e97fe3ca4,426b31ab-ab6d-433b-a183-310e97fe3ca4,nb,Felthinder,"Forser hinder med kontaktfelt på en trygg måte."
72206102-af16-4825-a9c7-f90dcdcf9fa4,72206102-af16-4825-a9c7-f90dcdcf9fa4,nb,Sporlegging,"Følg et utlagt spor til slutten."
de1d2784-550d-446b-a226-47d7d172e36c,de1d2784-550d-446b-a226-47d7d172e36c,nb,Gjenstandsmarkering,"Finn og marker gjenstander langs et spor."
d20f8674-123a-4b58-9d1f-4d174990d7a2,d20f8674-123a-4b58-9d1f-4d174990d7a2,nb,Romsøk,"Søk systematisk gjennom rom."
9c6f2e04-48d5-46dc-bc38-5e0314539eaa,9c6f2e04-48d5-46dc-bc38-5e0314539eaa,nb,Kjøretøysøk,"Søk etter et mål i og på kjøretøy."
7184eb2c-6c06-4219-837c-e1e8040bd727,7184eb2c-6c06-4219-837c-e1e8040bd727,nb,Beholdersøk,"Finn mållukt blant flere beholdere."
7840063e-8bd7-4f20-9744-4b9f6e14a2d6,7840063e-8bd7-4f20-9744-4b9f6e14a2d6,nb,Utendørssøk,"Finn mållukt utendørs."
b839b4a7-0d6f-4bd5-b867-2a9cc756630e,b839b4a7-0d6f-4bd5-b867-2a9cc756630e,nb,Samspill mellom hunder,"Rolig og passende atferd rundt andre hunder."
430fab6c-11f9-4bff-bfaf-918846303195,430fab6c-11f9-4bff-bfaf-918846303195,nb,Samspill med mennesker,"Trygg og passende atferd rundt mennesker."
f7d22aa4-b5e8-4ad4-bd54-6f74c13237a5,f7d22aa4-b5e8-4ad4-bd54-6f74c13237a5,nb,Klasse 1,"Innføringsklasse i lydighetsprøver."
633d9797-7fca-4052-a429-4ddf8feb85f6,633d9797-7fca-4052-a429-4ddf8feb85f6,nb,Klasse 2,"Videregående klasse i lydighetsprøver."
22e2f9d3-2d16-4bdd-98ce-963ca30f5cb4,22e2f9d3-2d16-4bdd-98ce-963ca30f5cb4,nb,Klasse 3,"Avansert klasse i lydighetsprøver."
23696e5f-6b0b-4a15-b25f-207b2d36af6c,23696e5f-6b0b-4a15-b25f-207b2d36af6c,nb,FCI klasse 3,"FCIs avanserte klasse i lydighetsprøver."
