id,exercise_id,locale,name,description,instructions
2dc85e52-929f-47e5-85b1-c80ff07aff1b,2dc85e52-929f-47e5-85b1-c80ff07aff1b,nb,Ro på matte,"Lær hunden å slappe av på en bestemt matte på signal.","Lokk hunden opp på matten med en godbit. Marker og belønn rolig atferd. Øk gradvis tiden før belønning."
7d28f6e3-a8d2-4a9e-a00b-7c28e9365f86,7d28f6e3-a8d2-4a9e-a00b-7c28e9365f86,nb,Høflig hilsing,"Hils på mennesker uten å hoppe.","Be en medhjelper nærme seg. Belønn fire poter i bakken. La medhjelperen trekke seg tilbake hvis hunden hopper, og belønn bare rolig hilsing."
bf3c5d78-642a-4a8a-8179-da1f5d092411,bf3c5d78-642a-4a8a-8179-da1f5d092411,nb,Vent ved dører,"Vent på tillatelse før hunden går gjennom en døråpning.","Åpne døren litt. Lukk den hvis hunden beveger seg mot den. Belønn at hunden venter, og gi deretter frisignal for å gå gjennom."
4bab3982-9086-4866-abbc-b36c8e9467ac,4bab3982-9086-4866-abbc-b36c8e9467ac,nb,Gå med slakt bånd,"Gå ved siden av føreren uten å trekke.","Stopp med én gang båndet strammes. Fortsett når hunden kommer tilbake til siden din, og belønn ofte."
09cff92f-54b5-4e3e-b370-18f27076fe15,09cff92f-54b5-4e3e-b370-18f27076fe15,nb,Passere forstyrrelser,"Behold slakt bånd nær forstyrrelser.","Start på en avstand der hunden klarer å holde fokus. Belønn oppmerksomhet, og reduser avstanden gradvis gjennom flere økter."
85305d88-5012-4ed1-80e2-f0072ea3168a,85305d88-5012-4ed1-80e2-f0072ea3168a,nb,Frivillig kontakt,"Hunden ser frivillig på føreren under gange.","Gå normalt og marker og belønn all spontan øyekontakt uten å gi signal. Øk gradvis tiden mellom belønningene."
6b41d699-cc9d-4831-991a-5bfe5c6cccdd,6b41d699-cc9d-4831-991a-5bfe5c6cccdd,nb,Grunnleggende innkalling,"Innkalling i et miljø med få forstyrrelser.","Si innkallingssignalet én gang på kort avstand. Belønn entusiastisk straks hunden kommer."
c1da10d7-ccbc-400b-bf66-2ca0b7e74a98,c1da10d7-ccbc-400b-bf66-2ca0b7e74a98,nb,Innkalling på lang avstand,"Innkalling fra lengre avstand.","Øk avstanden gradvis mellom repetisjonene. Bruk langline for sikkerhet, og gi en stor belønning når hunden kommer helt inn."
a945120a-8f82-4035-9570-a2343dd5f301,a945120a-8f82-4035-9570-a2343dd5f301,nb,Innkalling med forstyrrelser,"Innkalling når konkurrerende forstyrrelser er til stede.","Introduser milde forstyrrelser, som leker eller andre mennesker, på håndterbar avstand. Belønn rikelig når hunden velger å forlate forstyrrelsen."
ff2b7af7-4ccf-4d74-a52c-3f565805d434,ff2b7af7-4ccf-4d74-a52c-3f565805d434,nb,Grunnleggende fotposisjon,"Hold fotposisjon i stå og under noen få skritt.","Lokk hunden inn i posisjon ved siden av deg. Ta ett eller to skritt, marker og belønn mens hunden holder posisjonen."
cb4b4401-0533-4ef2-ae5b-894c5bb5b5d9,cb4b4401-0533-4ef2-ae5b-894c5bb5b5d9,nb,Fot med vendinger,"Behold fotposisjonen gjennom vendinger.","Øv på langsomme vendinger i begge retninger. Belønn hunden for å tilpasse tempo og posisjon."
5cdb09d2-eaeb-48cc-a9eb-4789b3d16ab9,5cdb09d2-eaeb-48cc-a9eb-4789b3d16ab9,nb,Fri ved fot,"Behold fotposisjonen uten bånd.","Ta av båndet på et sikkert område. Belønn ofte i starten, og øk gradvis avstanden mellom belønningene."
7e4c931a-5bd0-4f2f-885c-16e3add9ee7e,7e4c931a-5bd0-4f2f-885c-16e3add9ee7e,nb,Sitt og bli,"Hold sittende posisjon stadig lenger.","Gi signal om sitt, vent noen sekunder og belønn. Øk gradvis tiden før frisignal."
5433b3f0-8112-4b1b-84d6-bfcf907ad4cf,5433b3f0-8112-4b1b-84d6-bfcf907ad4cf,nb,Dekk og bli,"Hold liggende posisjon stadig lenger.","Gi signal om dekk og vent før belønning. Legg gradvis til varighet, avstand og milde forstyrrelser."
ae23e433-dc5d-4396-8b94-e120891fa3c0,ae23e433-dc5d-4396-8b94-e120891fa3c0,nb,Bli med avstand,"Hold posisjonen mens føreren går bort.","Gi bli-signal, ta ett skritt bakover, gå tilbake og belønn. Øk gradvis avstanden."
011f2e1d-e861-4a4a-881f-7b4e0bdfb8e8,011f2e1d-e861-4a4a-881f-7b4e0bdfb8e8,nb,Grunnleggende apportering,"Plukk opp og hold en leke eller apportbukk.","Oppmuntre hunden til å ta gjenstanden i munnen. Belønn først kort hold og deretter avlevering på signal."
e435a0c3-158d-49e0-8756-184e706aac58,e435a0c3-158d-49e0-8756-184e706aac58,nb,Apportering til hånd,"Hent en gjenstand og lever den direkte i hånden.","Kast gjenstanden et kort stykke. Belønn hunden for å hente den helt tilbake og slippe den i hånden din."
9253eeaa-ea46-4fc6-83c1-8a42c06ee221,9253eeaa-ea46-4fc6-83c1-8a42c06ee221,nb,Apportering over hinder,"Apporter en gjenstand over et lavt hinder.","Plasser et lavt hinder mellom hunden og gjenstanden. Belønn rene apporteringer over hinderet begge veier."
26127c9a-4112-4975-9cf4-6aa33a50e067,26127c9a-4112-4975-9cf4-6aa33a50e067,nb,Enkelt hopp,"Hopp over ett hinder på signal.","Sett hinderet lavt. Send eller før hunden over, og belønn umiddelbart etter landingen."
bed72e57-9b6d-4fb6-a661-264fb4fd2252,bed72e57-9b6d-4fb6-a661-264fb4fd2252,nb,Hoppsekvens,"Hopp en kort sekvens med hinder.","Sett opp to til tre hinder på rekke. Før hunden gjennom sekvensen, og belønn ved slutten."
df99c4c1-f1ca-45ee-aaae-364dd24ca66a,df99c4c1-f1ca-45ee-aaae-364dd24ca66a,nb,Hopp med forstyrrelse,"Hopp et hinder med forstyrrelser i nærheten.","Legg til en mild forstyrrelse nær hinderet. Belønn hunden for å holde fokus på hinderet og føreren."
649b7a83-2b6d-4ffd-8ee8-9bd37910d1ed,649b7a83-2b6d-4ffd-8ee8-9bd37910d1ed,nb,Rett tunnel,"Løp gjennom en kort og rett tunnel.","Hold tunnelen åpen og kall hunden gjennom fra den andre enden. Belønn umiddelbart ved utgangen."
0004ec8f-5657-4792-84b3-e3d8317a9ab1,0004ec8f-5657-4792-84b3-e3d8317a9ab1,nb,Buet tunnel,"Løp gjennom en buet tunnel.","Øk buen i tunnelen gradvis gjennom flere økter, og belønn trygge og raske løp."
c33ed54d-af89-4bf3-a8ab-4f0f442c5744,c33ed54d-af89-4bf3-a8ab-4f0f442c5744,nb,Hinderskille ved tunnel,"Velg riktig hinder når en tunnel står ved siden av et annet hinder.","Plasser tunnelen ved siden av et annet hinder. Vis tydelig vei mot tunnelen, og belønn riktige valg."
c75a9b0c-ddf5-4591-94b2-bc6f75ee7958,c75a9b0c-ddf5-4591-94b2-bc6f75ee7958,nb,Grunnleggende møne,"Gå opp og ned et lavt møne.","Start med mønet på laveste høyde. Før hunden rolig over, og belønn berøring av kontaktfeltet nederst."
bf5b232f-7184-42cd-a438-04fd168c7613,bf5b232f-7184-42cd-a438-04fd168c7613,nb,Bom,"Gå trygt over en hevet planke.","Start med planken nær bakken. Belønn jevnt tempo og kontrollert stopp i kontaktfeltet."
8ce30a9b-7621-4365-88c2-6c36d6c53981,8ce30a9b-7621-4365-88c2-6c36d6c53981,nb,Introduksjon til vippe,"Bli trygg på bevegelsen i vippen.","Støtt vippen nær bakken slik at den beveger seg lite. Øk utslaget gradvis etter hvert som hunden blir trygg."
13ea3466-107a-4368-8edf-93dda8c24808,13ea3466-107a-4368-8edf-93dda8c24808,nb,Kort rett spor,"Følg et kort og rett spor.","Legg et kort, rett spor med godbiter. La det ligge noen minutter, og før hunden langs sporet i sporline."
6a2096eb-9950-4a70-b6e5-26a68344652f,6a2096eb-9950-4a70-b6e5-26a68344652f,nb,Spor med vinkler,"Følg et spor med vinkler.","Legg et spor med én eller to vinkler. La hunden finne retningen selv, og belønn ved vinkelen."
7921e364-6a4b-40ea-b1a9-7456c430ce08,7921e364-6a4b-40ea-b1a9-7456c430ce08,nb,Eldet spor,"Følg et spor som har ligget en stund.","Legg sporet og la det ligge i 30–60 minutter før dere går det. Belønn et sikkert og målrettet søk med nesen nede."
86b3c657-3abf-4e75-9c0c-5a6a987dc58e,86b3c657-3abf-4e75-9c0c-5a6a987dc58e,nb,Finne én gjenstand,"Finn og marker én gjenstand i sporet.","Legg én gjenstand et stykke ut i sporet. Belønn enhver tydelig markering, som dekk, sitt eller påvisning."
08f160ee-1523-4c54-95cc-d51a97310ea1,08f160ee-1523-4c54-95cc-d51a97310ea1,nb,Skille mellom flere gjenstander,"Finn flere gjenstander og ignorer avledende objekter.","Legg flere gjenstander og avledende objekter langs sporet. Belønn bare markering av riktige gjenstander."
